(1.61,1.79)
(6.84,2.40)
(4.34,4.36)
(6.67,4.85)
(4.09,1.33)
(4.45,2.34)
(5.25,6.07)
(7.50,7.06)
(5.94,5.02)
(6.44,2.14)
(4.52,0.74)
(3.68,7.85)
(4.16,5.40)
(5.90,7.84)
(8.01,0.33)
(3.05,7.19)
(2.46,6.65)
(8.70,7.90)
(1.55,7.26)
(3.90,2.41)
(8.22,1.46)
(1.61,2.94)
(4.43,4.89)
(3.04,4.79)
(6.43,1.58)
(6.11,1.59)
(3.59,4.01)
(6.21,6.49)
(5.08,1.88)
(6.04,2.44)
(3.97,6.45)
(1.18,3.48)
(1.52,6.47)
(8.72,4.02)
(6.97,0.27)
(3.98,2.18)
(4.82,1.92)
(4.69,6.47)
(3.11,5.26)
(1.05,0.54)
(7.53,4.40)
(5.32,5.77)
(5.73,6.38)
(3.84,4.35)
(2.63,1.41)
(3.81,4.93)
(1.37,3.59)
(3.70,0.80)
(6.31,3.54)
(1.34,6.71)
(5.51,6.47)
(5.50,6.73)
(7.04,0.47)
(5.88,6.56)
(3.80,0.71)
(3.10,7.00)
(1.24,1.79)
(1.13,6.20)
(7.30,7.14)
(6.56,3.03)
(3.82,1.46)
(5.15,6.33)
(2.80,3.68)
(2.56,2.88)
(4.36,0.35)
(2.08,6.54)
(3.51,7.25)
(3.11,3.48)
(8.53,4.53)
(8.34,4.12)
(7.57,5.99)
(3.51,3.20)
(6.93,3.34)
(6.05,3.97)
(1.83,2.56)
(8.69,5.04)
(3.93,2.68)
(7.33,0.11)
(5.03,7.95)
(6.22,2.32)
(8.48,7.64)
(8.73,6.40)
(5.75,4.89)
(5.98,4.67)
(3.88,0.17)
(7.03,5.93)
(8.98,5.91)
(7.42,6.12)
(1.07,5.91)
(4.30,3.60)
(7.00,6.51)
(8.87,0.75)
(2.83,5.40)
(3.82,1.46)
(4.36,6.01)
(6.16,1.70)
(1.77,7.58)
(4.04,6.24)
(2.14,5.27)
(4.90,6.07)
(6.33,6.71)
(5.67,1.35)
(4.37,6.40)
(7.55,7.43)
(5.32,6.32)
(5.71,3.72)
(2.13,5.06)
(5.50,5.58)
(6.34,6.65)
(7.61,0.32)
(4.49,7.60)
(4.31,6.97)
(8.65,3.31)
(7.67,6.52)
(4.45,4.33)
(7.91,5.48)
(8.55,3.40)
(2.33,4.68)
(1.26,6.26)
(2.35,7.84)
(7.46,2.60)
(3.19,4.70)
(7.39,2.10)
(3.30,0.43)
(5.68,1.23)
(1.69,4.64)
(3.81,5.27)
(5.06,2.33)
(4.23,2.52)
(8.57,7.84)
(8.75,3.28)
(2.94,4.78)
(1.32,7.73)
(7.78,2.12)
(3.63,0.80)
(7.82,7.01)
(3.41,7.69)
(3.67,7.05)
(3.33,3.76)
(3.71,6.84)
(5.02,2.04)
(6.15,0.07)
(5.74,5.64)
(6.07,3.74)
(6.61,0.52)
(3.19,1.94)
(4.50,1.92)
(7.00,2.83)
(4.62,4.17)
(6.88,3.43)
(3.22,6.89)
(5.75,5.61)
(5.39,3.01)
(5.38,4.78)
(3.67,4.14)
(4.77,5.19)
(6.96,1.00)
(2.37,1.63)
(6.01,4.43)
(4.83,6.46)
(6.72,3.82)
(8.60,1.92)
(1.96,4.46)
(4.22,5.92)
(5.15,6.71)
(2.68,6.27)
(4.33,1.57)
(2.72,4.34)
(2.88,5.42)
(1.41,2.43)
(4.74,1.36)
(8.77,4.94)
(1.03,4.87)
(3.03,5.07)
(7.02,2.21)
(3.35,3.09)
(8.74,5.52)
(2.00,0.08)
(2.24,3.35)
(4.38,3.09)
(2.07,4.65)
(2.05,5.32)
(2.44,0.01)
(7.37,7.86)
(4.04,3.44)
(8.43,3.02)
(4.60,1.73)
(5.79,7.49)
(5.02,7.45)
(1.47,0.70)
(4.27,6.34)
(3.24,6.08)
(6.98,0.97)
(7.73,5.77)
(3.54,3.11)
(8.80,0.12)
(8.61,1.63)
(3.81,7.59)
(8.24,6.30)
(7.05,5.44)
(2.55,6.98)
(8.61,3.37)
(1.93,3.61)
(3.74,6.60)
(8.11,4.21)
(4.93,4.89)
(8.48,1.56)
(3.73,2.49)
(3.26,1.42)
(5.26,1.07)
(7.25,1.72)
(1.28,3.92)
(2.79,6.20)
(1.51,5.06)
(5.06,0.44)
(1.26,7.40)
(5.51,1.38)
(7.15,3.30)
(7.30,5.51)
(2.58,6.25)
(5.94,0.98)
(3.56,1.10)
(5.94,7.46)
(7.81,2.63)
(5.46,6.61)
(4.56,3.14)
(4.64,2.15)
(3.69,7.85)
(3.03,4.27)
(3.00,2.13)
(8.74,3.78)
(4.79,5.43)
(4.05,3.67)
(5.10,1.56)
(4.42,4.14)
(2.36,5.57)
(4.03,7.81)
(7.07,1.77)
(1.01,0.62)
(7.80,4.43)
(7.87,3.98)
(5.13,1.45)
(3.73,1.64)
(6.12,1.05)
(2.51,0.29)
(5.65,5.48)
(2.39,6.89)
(7.82,4.48)
(6.99,7.02)
(5.60,0.44)
(7.98,3.78)
(6.76,5.36)
(3.74,5.21)
(5.62,3.29)
(4.98,1.06)
(3.07,0.79)
(2.99,6.54)
(4.74,4.19)
(8.30,1.91)
(1.38,0.21)
(1.65,0.88)
(8.81,2.14)
(7.83,3.45)
(5.52,7.08)
(3.54,5.38)
(4.85,1.59)
(7.25,2.26)
(1.46,3.41)
(1.29,3.32)
(6.83,6.09)
(6.46,0.88)
(5.03,6.67)
(7.95,4.42)
(5.40,4.76)
(8.56,4.46)
(7.35,1.30)
(3.41,3.76)
(2.56,2.96)
(5.96,7.39)
(7.22,2.61)
(1.26,4.45)
(2.20,7.86)
(3.42,0.53)
(2.79,7.61)
(1.45,4.51)
(3.27,1.81)
(5.85,6.57)
(8.43,2.78)
(2.36,0.24)
(6.01,6.47)
(5.95,5.67)
(5.21,2.14)
(7.95,4.10)
(4.65,1.58)
(3.79,3.06)
(4.23,1.54)
(3.17,3.12)
(1.88,0.82)
(4.68,7.89)
(5.83,3.22)
(3.58,1.93)
(2.18,4.24)
(7.67,3.26)
(3.95,6.77)
(8.32,3.38)
(8.35,4.44)
(1.44,5.17)
(8.58,0.11)
(1.04,5.63)
(5.01,3.98)
(7.09,5.49)
(7.42,0.65)
(2.73,2.84)
(2.53,3.08)
(4.98,7.65)
(4.56,5.58)
(4.34,4.04)
(5.30,3.81)
(5.82,1.58)
(1.15,0.27)
(1.06,3.64)
(1.22,0.08)
(2.36,0.72)
(8.44,0.03)
(2.69,5.99)
(1.45,4.21)
(5.71,0.78)
(3.20,6.53)
(8.81,3.17)
(2.09,4.00)
(2.10,7.01)
(4.86,7.65)
(2.53,2.57)
(3.95,5.21)
(8.28,0.19)
(1.41,1.14)
(8.40,5.95)
(6.31,5.97)
(8.85,5.08)
(6.26,3.89)
(7.35,0.42)
(8.61,6.72)
(6.90,7.10)
(2.40,7.97)
(5.42,0.54)
(5.77,6.47)
(2.85,1.02)
(5.47,4.89)
(8.20,1.69)
(2.94,2.08)
(7.87,7.38)
(1.97,5.09)
(8.30,7.07)
(7.85,7.60)
(4.97,3.68)
(4.53,5.20)
(3.08,7.20)
(8.23,0.50)
(4.49,7.74)
(4.47,6.32)
(8.60,3.72)
(7.23,4.34)
(2.56,4.79)
(8.04,0.38)
(8.57,5.09)
(5.86,7.41)
(6.61,0.68)
(4.36,0.62)
(2.67,3.14)
(4.11,5.84)
(7.75,7.80)
(1.02,5.78)
(3.91,5.88)
(4.54,7.00)
(4.81,2.47)
(3.07,0.02)
(2.17,1.17)
(5.50,1.39)
(3.23,2.24)
(8.50,7.63)
(6.29,4.25)
(7.70,0.56)
